ER30001,ER30002,ER31996,ER31997,ER33401,ER33402,ER33403,Q1A33,Q1E12A,Q1F12A,Q1G11C,Q1K3A,Q1K3B,Q1K7,Q1K8,Q1K9,Q1K10,Q2A51,ER33601,ER33602,ER33603,Q21A19,Q21A20_2,Q21A23,Q21A24_2,Q21B11A1,Q21B12A1,Q21C7A_1,Q21C7A_2,Q21C7A_3,Q21C7A_4,Q21C7B_1,Q21C7B_2,Q21C7B_3,Q21C7B_4,Q21C10H,Q21C15A,Q21C15B,Q21C21A,Q21C21B,Q21C22H,Q21C27A,Q21C27B,Q21C28H,Q21C33A,Q21C33B,Q21C39A,Q21C39B,Q21G5D,Q21G10C,Q21G21A1,Q21G21A2,Q21H5C,Q21H8B,Q21H22B,Q21H22C,Q21H23A1,Q21H23B1,Q21H23C1,Q21H23D1,Q21H23E1,Q21H23F1,Q21H23G1,Q21H23H1,Q21H24J,Q21H24O,Q21H25J,Q21H25O,Q23L2,Q23L2A,Q23L4A5,ER33901,ER33902,ER33903,Q31B11A1,Q31B11A2,Q31B12A1,Q31B12A2,Q31C15A,Q31C15B,Q31C21A,Q31C21B,Q31C27A,Q31C27B,Q31C33A,Q31C33B,Q31C39A,Q31C39B,Q31H5C,Q31H8B,Q31H22B,Q31H22C,Q31H23A1,Q31H23B1,Q31H23C1,Q31H23D1,Q31H23E1,Q31H23F1,Q31H23G1,Q32JA34,Q33L2,Q33L2A,Q33L3F,Q33L3G,Q33L3H
4,3,31,2,3854,1,10,,,,,,,,,,,,96,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,31,2,3853,2,20,,,,,,,,,,,,6872,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,31,2,5491,1,10,,,,,,,,,,,,7091,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31,31,2,4246,1,10,,,,,,,,,,,,285,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33,31,2,3854,3,30,,,,,,,,,,,,5479,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36,31,2,5490,2,20,,,,,,,,,,,,7308,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,37,31,2,4773,3,30,0,0,10,0,3,3,0,0,0,0,,5964,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,38,31,2,5491,2,30,75,0,5,0,3,3,0,0,0,0,,7091,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,39,31,2,3854,4,60,32,1,0,0,3,3,0,0,0,0,2040,96,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,1,300,0,50,1000,0,0,0,5200,5,5,5,5,20,1,50,148,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,600,1000,600,0,120,0,0,0,0,10,25
4,41,31,2,4246,2,30,0,0,0,0,3,3,0,0,0,0,0,285,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,700,0,200,500,0,0,0,1600,0,0,0,0,0,0,0,196,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,20,0,200,500,0,0,0,0,0,0,0,0,0
4,42,31,2,4246,3,30,0,0,0,0,3,3,0,0,0,0,0,285,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,1,0,0,0,0,500,0,300,500,0,0,0,1600,0,0,0,0,,,,196,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,300,0,75,200,0,0,0,0,0,0,0,0,0
4,43,31,2,5490,3,30,500,0,0,0,3,3,0,0,0,0,,7308,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,173,31,2,3854,2,20,,,,,,,,,,,,96,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,179,31,2,4773,1,10,,,,,,,,,,,,5964,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,180,31,2,4773,2,30,0,0,10,0,3,3,0,0,0,0,,5964,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,186,31,2,3853,1,10,,,,,,,,,,,,6872,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,187,31,2,3853,3,30,15,0,0,0,3,3,0,0,0,0,,6872,3,30,50,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,240,0,0,0,300,1000,50,600,0,0,0,99998,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,190,31,2,5490,1,10,,,,,,,,,,,,5480,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,192,31,2,3853,0,0,,,,,,,,,,,,6872,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,195,31,2,4246,0,0,,,,,,,,,,,,285,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,31,2,368,1,10,,,,,,,,,,,,1448,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5570,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,31,2,3633,1,10,,,,,,,,,,,,444,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,31,31,2,368,3,30,,,,,,,,,,,,1448,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7878,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,32,31,2,368,4,30,700,0,0,0,3,3,0,0,0,0,2000,1448,4,30,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,300,100,800,0,200,2600,0,0,0,0,0,0,0,8069,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,33,31,2,3633,5,30,180,0,0,0,3,3,0,0,0,0,500,444,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,100,0,200,300,0,0,0,1200,0,0,4,0,2
5,170,31,2,368,2,20,,,,,,,,,,,,1448,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5570,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,172,31,2,3633,2,20,,,,,,,,,,,,279,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,173,31,2,3633,3,33,,,,,,,,,,,,279,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,174,31,2,3633,4,33,,,,,,,,,,,,279,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,177,31,2,3633,0,0,,,,,,,,,,,,444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,178,31,2,3633,0,0,,,,,,,,,,,,444,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,4,1,6048,1,10,,,,,,,,,,,,6438,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32,4,1,6048,3,30,,,,,,,,,,,,6438,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33,4,1,6048,4,30,,,,,,,,,,,,6438,52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6467,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34,4,1,6048,5,30,10,0,0,0,3,3,0,0,0,0,,6438,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,172,4,1,6048,2,20,,,,,,,,,,,,6438,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,8,2,1910,1,10,,,,,,,,,,,,3133,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,8,2,1114,1,10,,,,,,,,,,,,3198,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,8,2,1111,1,10,,,,,,,,,,,,4672,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,8,2,1114,2,30,,,,,,,,,,,,3325,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,31,8,2,1910,3,30,,,,,,,,,,,,6030,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,32,8,2,1112,1,10,,,,,,,,,,,,6030,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,33,8,2,5107,3,40,,,,,,,,,,,,4671,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34,8,2,5107,1,10,,,,,,,,,,,,3075,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,36,8,2,1111,3,30,,,,,,,,,,,,7255,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,37,8,2,1114,3,30,,,,,,,,,,,,3198,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38,8,2,1111,4,30,,,,,,,,,,,,2945,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39,8,2,1111,5,30,0,0,0,0,3,3,0,0,0,0,99999,2945,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,20,50,0,0,0,2600,0,5,0,0,0,0,0,1154,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,8,2,1111,6,30,0,0,0,0,3,3,0,0,0,0,99999,2945,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,200,0,50,100,0,0,0,1300,0,5,0,0,0,0,20,482,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,41,8,2,1114,4,60,0,5,0,0,1,2,5,5,5,5,0,3325,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,600,500,0,0,0,0,,,,,
7,42,8,2,1111,7,30,,,,,,,,,,,,2945,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,43,8,2,1114,5,60,,,,,,,,,,,,3325,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,44,8,2,1114,6,60,0,0,0,0,1,2,5,5,5,5,0,3325,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,400,0,300,500,0,0,0,0,,,,,
7,45,8,2,1910,5,60,140,0,0,0,1,1,1,5,5,1,140,6030,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,5,50,0,40,100,0,0,0,50,0,0,0,0,0,0,0,904,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,900,400,400,400,0,0,0,0,10,1,0,20,0
7,46,8,2,5107,2,30,200,0,0,0,2,3,5,5,5,5,,3075,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2000,150,200,0,0,0,0,0,0,0,0,2
7,47,8,2,5107,4,30,50,0,0,0,2,3,5,5,5,5,,3075,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2000,150,500,0,0,0,800,0,0,2,4,3
7,48,8,2,5107,5,30,,,,,,,,,,,,3075,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,49,8,2,1910,0,0,,,,,,,,,,,,6030,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,170,8,2,1910,2,20,,,,,,,,,,,,3133,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
