ER10002,ER10039,ER10040,ER10041,ER10042,ER10043,ER10044,ER10045,ER10046,ER10047,ER10048,ER10049,ER10050,ER10051,ER10052,ER10053,ER10054,ER10055,ER10056,ER10057,ER10058,ER10060,ER21002,ER21048,ER21049,ER21050,ER21051,ER21052,ER21053,ER21054,ER21055,ER21056,ER21057,ER21058,ER21059,ER21060,ER21061,ER21062,ER21063,ER21064,ER21065,ER21066,ER21067,ER21068,ER21069,ER21070,ER21072,ER22621,S606,S620,ER36002,ER36039,ER36040,ER36041,ER36042,ER36043,ER36044,ER36045,ER36046,ER36047,ER36048,ER36049,ER36050,ER36051,ER36052,ER36053,ER36054,ER36055,ER36056,ER36057,ER36058,ER36059,ER36060,ER36061,ER36062,ER36063,ER36065,ER37620,S806,S820
3579,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3854,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,120000,148,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,120000
,,,,,,,,,,,,,,,,,,,,,,6278,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100000,5399,1,1,1,60000,0,850,0,5,500,1,2005,8,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,75000
,,,,,,,,,,,,,,,,,,,,,,4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1,1,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1,1,0
5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5536,1,1,1,30000,0,513,0,2,875,1999,12,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6061,1,1,1,3000,0,155,0,98,0,2000,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3000,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,5,0,0
6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5239,1,1,0,1,0,45000,0,700,0,8,0,0,0,1985,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5638,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5558,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4773,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,5,0,0
3853,1,1,0,1,0,35000,0,423,0,8,0,0,0,1993,0,11,0,5,0,1,0,7782,1,1,1,80000,0,1037,0,6,0,1992,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065,1,1,0,1,0,61000,0,620,0,6,0,500,0,1992,0,25,0,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5490,1,2,0,1,0,43000,0,450,0,10,0,250,0,1996,0,14,0,5,0,5,0,5974,1,1,1,27000,0,456,0,10,0,1996,7,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6570,1,1,1,50000,0,650,0,98,0,1998,26,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,5,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,5,0,0
,,,,,,,,,,,,,,,,,,,,,,6443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,5,0,0,5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1,1,0
240,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70000,1210,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70000
368,1,1,0,1,0,70000,0,618,0,8,0,0,0,1996,0,15,0,5,0,5,0,4965,1,1,1,42000,0,618,0,7,875,1996,8,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,18000,5570,1,1,1,38000,0,618,0,7,900,1,1996,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,82000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
3633,1,1,0,1,0,54000,0,490,0,14,0,0,0,1992,0,25,0,5,0,1,0,6955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5,0,0,7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,5,0,0
